Code_Country,Ref_Y,Year,Country,Country1,TyH_Vote,TyH_Seats,Dalton_Vote,Dalton_Seats,Knutsen_Vote,Knutsen_Seats,VDEM_pol,Dalton_OP,election,party_replacement_v,Volat_A_Cohen_2pct,Volat_A_Cohen_5pct,Volat_A_Cohen_7pct,stable_party_v,Volat_B_Cohen_2pct,Volat_B_Cohen_5pct,Volat_B_Cohen_7pct,volatility,Evolat_Cohen_2pct,Evolat_Cohen_5pct,Evolat_Cohen_7pct,Volat_A_Schmidt,Volat_B_Schmidt,Evolat_Schmidt,Enph_Schmidt,gdppc,gdp_growth,inflation,unemployment,gini,PR_system,IDEA_ES_Legislature,IDEA_ES_President,Lib_Dem_Index,Elect_Dem_Index,Legislative size,Dist_Mag_mean
2,0,1992,Bolivia,BOL,NA,NA,NA,NA,NA,NA,0.108,NA,0,0.171,0.126,0.113,0.061,0.163,0.157,0.156,0.156,0.334,0.284,0.27,0.218,15.93,14.83,30.76,3.917,3592.1,-0.475,12.06,5.52,49.1,PR,List PR,Other,0.48,0.718,130,NA
2,1,1993,Bolivia,BOL,0.585,0.682,1.7,1.836,0.454,0.656,0.108,NA,1,0.813,0.756,0.742,0.715,0.049,0.01,0.01,0.01,0.862,0.767,0.752,0.726,53.71,5.98,59.69,3.714,3670.3,2.103,8.53,5.99,NA,PR,List PR,Other,0.49,0.732,130,NA
2,0,1994,Bolivia,BOL,0.585,0.682,1.7,1.836,0.454,0.656,0.278,NA,0,0.813,0.756,0.742,0.715,0.049,0.01,0.01,0.01,0.862,0.767,0.752,0.726,53.71,NA,NA,3.714,3765.2,2.509,7.87,3.08,NA,PR,List PR,Other,0.497,0.742,130,NA
2,0,1995,Bolivia,BOL,0.585,0.682,1.7,1.836,0.454,0.656,0.278,NA,0,0.813,0.756,0.742,0.715,0.049,0.01,0.01,0.01,0.862,0.767,0.752,0.726,53.71,NA,NA,3.714,3865.4,2.542,10.19,3.69,NA,PR,List PR,Other,0.502,0.749,130,NA
2,0,1996,Bolivia,BOL,0.585,0.682,1.7,1.836,0.454,0.656,0.278,4.46,0,0.813,0.756,0.742,0.715,0.049,0.01,0.01,0.01,0.862,0.767,0.752,0.726,53.71,NA,NA,3.714,3959.5,2.256,12.43,5.23,NA,PR,List PR,Other,0.502,0.749,130,NA
2,1,1997,Bolivia,BOL,0.992,1.05,2.214,2.277,0.907,0.951,0.091,4.071,1,0.508,0.459,0.459,0.459,0.125,0.124,0.099,0.099,0.633,0.583,0.558,0.558,34.55,12.42,46.97,5.362,4079.5,2.863,4.71,2.08,58.2,Mixed,MMP,Other,0.529,0.754,130,3.8
2,0,1998,Bolivia,BOL,0.992,1.05,2.214,2.277,0.907,0.951,0.091,4.588,0,0.508,0.459,0.459,0.459,0.125,0.124,0.099,0.099,0.633,0.583,0.558,0.558,34.55,12.42,46.97,5.362,4205.7,2.963,7.67,NA,NA,Mixed,MMP,Other,0.53,0.756,130,3.8
2,0,1999,Bolivia,BOL,0.992,1.05,2.214,2.277,0.907,0.951,0.091,4.588,0,0.508,0.459,0.459,0.459,0.125,0.124,0.099,0.099,0.633,0.583,0.558,0.558,34.55,12.42,46.97,5.362,4146.5,-1.523,2.16,3.93,58.1,Mixed,MMP,Other,0.536,0.761,130,3.8
2,0,2000,Bolivia,BOL,0.992,1.05,2.214,2.277,0.907,0.951,0.091,3.781,0,0.508,0.459,0.459,0.459,0.125,0.124,0.099,0.099,0.633,0.583,0.558,0.558,34.55,12.42,46.97,5.362,4173.6,0.545,4.61,4.47,61.6,Mixed,MMP,Other,0.54,0.761,130,3.8
2,0,2001,Bolivia,BOL,0.992,1.05,2.214,2.277,0.907,0.951,0.091,4.046,0,0.508,0.459,0.459,0.459,0.125,0.124,0.099,0.099,0.633,0.583,0.558,0.558,34.55,12.42,46.97,5.362,4166.5,-0.236,1.59,5.24,57.4,Mixed,MMP,Other,0.54,0.76,130,3.8
2,1,2002,Bolivia,BOL,1.585,1.651,2.798,2.855,0.995,1.014,0.291,4.997,1,0.913,0.893,0.828,0.77,0.084,0,0,0,0.997,0.893,0.828,0.77,39.12,17.09,56.21,4.965,4193.8,0.58,0.93,5.48,59.3,Mixed,MMP,Other,0.53,0.747,130,1.69
2,0,2003,Bolivia,BOL,1.585,1.651,2.798,2.855,0.995,1.014,0.902,4.647,0,0.913,0.893,0.828,0.77,0.084,0,0,0,0.997,0.893,0.828,0.77,39.12,17.09,56.21,4.965,4230.4,0.831,3.34,NA,NA,Mixed,MMP,Other,0.533,0.739,130,1.69
2,0,2004,Bolivia,BOL,1.585,1.651,2.798,2.855,0.995,1.014,0.902,3.387,0,0.913,0.893,0.828,0.77,0.084,0,0,0,0.997,0.893,0.828,0.77,39.12,17.09,56.21,4.965,4330.6,2.298,4.44,4.17,55,Mixed,MMP,Other,0.551,0.767,130,1.69
2,0,2005,Bolivia,BOL,1.585,1.651,2.798,2.855,0.995,1.014,0.779,4.447,1,0.453,0.442,0.412,0.384,0.308,0.206,0.188,0.188,0.76,0.649,0.6,0.572,43.39,26.36,69.75,4.965,4445.4,2.575,5.39,5.45,58.5,Mixed,MMP,Other,0.544,0.764,130,1.69
2,1,2006,Bolivia,BOL,3.851,3.902,4.361,4.39,1.845,1.87,0.779,3.8,0,0.453,0.442,0.412,0.384,0.308,0.206,0.188,0.188,0.76,0.649,0.6,0.572,43.39,26.36,69.75,2.365,4581.9,2.977,4.28,5.08,56.7,Mixed,MMP,Other,0.473,0.74,130,1.69
2,0,2007,Bolivia,BOL,3.851,3.902,4.361,4.39,1.845,1.87,1.258,4.069,0,0.453,0.442,0.412,0.384,0.308,0.206,0.188,0.188,0.76,0.649,0.6,0.572,43.39,26.36,69.75,2.365,4713.5,2.781,8.71,5.18,54.5,Mixed,MMP,Other,0.462,0.725,130,1.69
2,0,2008,Bolivia,BOL,3.851,3.902,4.361,4.39,1.845,1.87,1.258,3.556,0,0.453,0.442,0.412,0.384,0.308,0.206,0.188,0.188,0.76,0.649,0.6,0.572,43.39,26.36,69.75,2.365,4924,4.369,14.01,2.6,50.8,Mixed,MMP,Other,0.461,0.73,130,1.69
2,0,2009,Bolivia,BOL,3.851,3.902,4.361,4.39,1.845,1.87,1.05,3.464,1,0.999,0.987,0.964,0.936,0,0,0,0,0.999,0.987,0.964,0.936,41.02,5.24,46.26,2.365,5011.3,1.649,3.35,2.97,49.2,Mixed,MMP,TRS,0.449,0.729,130,1.69
2,1,2010,Bolivia,BOL,1.618,1.709,2.826,2.905,1.104,1.166,0.895,3.272,0,0.999,0.987,0.964,0.936,0,0,0,0,0.999,0.987,0.964,0.936,41.02,5.24,46.26,1.852,5141.8,2.429,2.5,NA,NA,Mixed,MMP,TRS,0.411,0.687,130,1.69
2,0,2011,Bolivia,BOL,1.618,1.709,2.826,2.905,1.104,1.166,0.895,3.977,0,0.999,0.987,0.964,0.936,0,0,0,0,0.999,0.987,0.964,0.936,41.02,5.24,46.26,1.852,5331,3.511,9.88,2.25,46.1,Mixed,MMP,TRS,0.412,0.684,130,1.69
2,0,2012,Bolivia,BOL,1.618,1.709,2.826,2.905,1.104,1.166,0.68,3.977,0,0.999,0.987,0.964,0.936,0,0,0,0,0.999,0.987,0.964,0.936,41.02,5.24,46.26,1.852,5511,3.454,4.52,2.07,46.6,Mixed,MMP,TRS,0.407,0.686,130,1.69
2,0,2013,Bolivia,BOL,1.618,1.709,2.826,2.905,1.104,1.166,0.68,3.248,0,0.999,0.987,0.964,0.936,0,0,0,0,0.999,0.987,0.964,0.936,41.02,5.24,46.26,1.852,5789,5.128,5.74,2.44,47.6,Mixed,MMP,TRS,0.412,0.67,130,1.69
2,0,2014,Bolivia,BOL,1.618,1.709,2.826,2.905,1.104,1.166,0.68,3.248,1,0.376,0.369,0.33,0.301,0.014,0.014,0.014,0.014,0.39,0.384,0.344,0.316,37.2,1.43,38.63,1.906,6007,3.844,5.77,2.02,47.8,Mixed,MMP,TRS,0.404,0.658,130,1.69
2,1,2015,Bolivia,BOL,3.805,3.818,4.335,4.342,1.814,1.826,0.68,3.979,0,0.376,0.369,0.33,0.301,0.014,0.014,0.014,0.014,0.39,0.384,0.344,0.316,37.2,1.43,38.63,1.906,6200,3.283,4.06,3.11,46.7,Mixed,MMP,TRS,0.38,0.627,130,1.69
2,0,2016,Bolivia,BOL,3.805,3.818,4.335,4.342,1.814,1.826,1.31,3.993,0,0.376,0.369,0.33,0.301,0.014,0.014,0.014,0.014,0.39,0.384,0.344,0.316,37.2,1.43,38.63,1.906,6355,2.732,3.62,3.5,45.3,Mixed,MMP,TRS,0.377,0.63,130,1.69
2,0,2017,Bolivia,BOL,3.805,3.818,4.335,4.342,1.814,1.826,1.31,5.376,0,0.376,0.369,0.33,0.301,0.014,0.014,0.014,0.014,0.39,0.384,0.344,0.316,37.2,1.43,38.63,1.906,6521.4,2.696,2.82,3.65,44.6,Mixed,MMP,TRS,0.377,0.63,130,1.69
2,0,2018,Bolivia,BOL,3.805,3.818,4.335,4.342,1.814,1.826,1.31,4.816,0,0.376,0.369,0.33,0.301,0.014,0.014,0.014,0.014,0.39,0.384,0.344,0.316,37.2,1.43,38.63,NA,6695.8,2.752,2.27,3.52,42.6,Mixed,MMP,TRS,0.357,0.614,130,1.69
